name,license_number,address,city,state,zip_code,lat,lon,phone,star_rating,capacity,facility_type,geocoded
AFTON NATURE SCHOOL,68000573,"109 HILLCREST AVENUE, CARRBORO, NC 27510",CARRBORO,NC,27510,35.9205151,-79.0710616,(919) 636-2836,,,Center,True
CARRBORO EARLY SCHOOL,68000264,"310 LLOYD STREET, CARRBORO, NC 27510",CARRBORO,NC,27510,35.9129972,-79.0691353,(919) 929-9998,,,Center,True
CARRBORO ELEMENTARY PRE-K/HEAD START,68000435,"400 SHELTON ST, CARRBORO, NC 27510",CARRBORO,NC,27510,35.915768,-79.0778025,(919) 918-2153,,,Center,True
CARRBORO SCHOOL AGE CARE PROGRAM,6855134,"400 SHELTON ST, CARRBORO, NC 27510",CARRBORO,NC,27510,35.915768,-79.0778025,(919) 968-3652,,,Center,True
COMMUNITY SCHOOL FOR PEOPLE UNDER 6,68000476,"102 HARGRAVES STREET, CARRBORO, NC 27510",CARRBORO,NC,27510,35.908277,-79.0684718,(919) 929-1543,,,Center,True
HAPPY DAY NURSERY AND DAY CARE,6855122,"107 LAUREL AVENUE, CARRBORO, NC 27510",CARRBORO,NC,27510,35.9100857,-79.0767339,(919) 967-2016,,,Center,True
MONTESSORI ACADEMY OF CARRBORO,68000520,"103 LAUREL AVE, CARRBORO, NC 27510",CARRBORO,NC,27510,35.9105877,-79.0767712,(919) 869-7368,,,Center,True
UNC HORIZONS CHILD DEVELOPMENT CENTER,68000530,"410 N GREENSBORO ST SUITE 130, CARRBORO, NC 27510",CARRBORO,NC,27510,35.9099875,-79.0752876,(919) 445-6127,,,Center,True
CAROLINA CREATIVE PLAYSCHOOL,68000524,"8800 SEAWELL SCHOOL RD, CHAPEL HILL, NC 27514",CHAPEL HILL,NC,27514,35.9458113,-79.0738478,(919) 391-4406,,,Center,True
CHAPEL HILL KINDERCARE,6855067,"210 SOUTH ELLIOTT ROAD, CHAPEL HILL, NC 27514",CHAPEL HILL,NC,27514,35.9131542,-79.05578,(919) 942-7223,,,Center,True
CHILD CARE MATTERS INC,68000517,"825 N ESTES DR, CHAPEL HILL, NC 27514",CHAPEL HILL,NC,27514,35.9347761,-79.0549136,(919) 929-8190,,,Center,True
CHILDREN'S CAMPUS OF CHAPEL HILL,68000531,"100 WESTMINSTER DR, CHAPEL HILL, NC 27514",CHAPEL HILL,NC,27514,35.960934,-79.0570496,(919) 240-5254,,,Center,True
CHILDREN'S CAMPUS OF CHAPEL HILL,68000283,"110 KINGSTON DR, CHAPEL HILL, NC 27514",CHAPEL HILL,NC,27514,35.9623602,-79.0519542,(919) 967-5020,,,Center,True
EPHESUS ELEMENTARY PRE-K/HEAD START,68000337,"1495 EPHESUS CHURCH RD, CHAPEL HILL, NC 27514",CHAPEL HILL,NC,27514,35.9336581,-79.0160393,(919) 918-2153,,,Center,True
ESTES CHILDREN'S COTTAGE,68000393,"200 NORTH ESTES DRIVE, CHAPEL HILL, NC 27514",CHAPEL HILL,NC,27514,35.9310158,-79.037232,(919) 942-8485,,,Center,True
ESTES HILLS PREK,68000492,"500 N ESTES DR, CHAPEL HILL, NC 27514",CHAPEL HILL,NC,27514,35.9359769,-79.0438998,(919) 918-2153,,,Center,True
ESTES HILLS SCHOOL-AGE CARE PROGRAM,6855099,"500 ESTES DRIVE, CHAPEL HILL, NC 27514",CHAPEL HILL,NC,27514,35.9359769,-79.0438998,(919) 967-8211,,,Center,True
GLENWOOD EL SCHOOL-AGE CARE PROGRAM,6855100,"2 PRESTWICK ROAD, CHAPEL HILL, NC 27514",CHAPEL HILL,NC,27514,35.9065569,-79.0259135,(919) 967-8211,,,Center,True
BLOSSOMS DAY CARE,68000564,"110 N ELLIOT RD, CHAPEL HILL, NC 27516",CHAPEL HILL,NC,27516,35.9131542,-79.05578,(919) 933-1014,,,Center,True
CHAPEL HILL DAY CARE CENTER,68000135,"401 KILDAIRE ROAD, CHAPEL HILL, NC 27516",CHAPEL HILL,NC,27516,35.8793147,-79.0668365,(919) 929-3585,,,Center,True
EPHESUS SCHOOL-AGE CARE PROGRAM,6855080,"1495 EPHESUS CHURCH ROAD, CHAPEL HILL, NC 27516",CHAPEL HILL,NC,27516,35.9336581,-79.0160393,(919) 929-8715,,,Center,True
FRANK PORTER GRAHAM ELEMENTARY PRE-K,68000417,"101 SMITH LEVEL ROAD, CHAPEL HILL, NC 27516",CHAPEL HILL,NC,27516,35.8999118,-79.0718339,(919) 918-2153,,,Center,True
FRANK PORTER GRAHAM SCHOOL-AGE CARE PROGRAM,6855079,"101 SMITH LEVEL ROAD, CHAPEL HILL, NC 27516",CHAPEL HILL,NC,27516,35.8999118,-79.0718339,(919) 967-8211,,,Center,True
HOLMES CHILD CARE,68000329,"216 N ROBERSON ST, CHAPEL HILL, NC 27516",CHAPEL HILL,NC,27516,35.9128846,-79.0638342,(919) 942-5495,,,Center,True
KINDERCARE LEARNING CENTER,19000374,"27 KNOX WAY, CHAPEL HILL, NC 27516",CHAPEL HILL,NC,27516,35.9131542,-79.05578,(919) 967-1346,,,Center,True
LEGACY ACADEMY FOR CHILDREN,68000485,"515 E WINMORE AVE, CHAPEL HILL, NC 27516",CHAPEL HILL,NC,27516,35.9469777,-79.0860092,(919) 929-7060,,,Center,True
MCDOUGLE ELEMENTARY PREK/HEAD START,68000381,"800 OLD FAYETTEVILLE ROAD, CHAPEL HILL, NC 27516",CHAPEL HILL,NC,27516,35.9131542,-79.05578,(919) 918-2153,,,Center,True
MCDOUGLE SCHOOL AGE CARE PROGRAM,68000150,"890 OLD FAYETTEVILLE ROAD, CHAPEL HILL, NC 27516",CHAPEL HILL,NC,27516,35.9298113,-79.0988182,(919) 969-2435,,,Center,True
"CASA CLUB SPANISH IMMERSION PRESCHOOL, INC.",19000333,"41130 MORING DRIVE, CHAPEL HILL, NC 27517",CHAPEL HILL,NC,27517,35.9131542,-79.05578,(919) 929-6019,,,Center,True
CHAPEL HILL COOPERATIVE PRESCHOOL,68000559,"108 MT CARMEL CHURCH RD, CHAPEL HILL, NC 27517",CHAPEL HILL,NC,27517,35.8894596,-79.0572931,(919) 942-3955,,,Center,True
LITTLE GENIUS LLC,68000574,"114 SOUTH GRAHAM STREET, CHAPEL HILL, NC 27517",CHAPEL HILL,NC,27517,35.9089369,-79.0639021,(984) 999-4545,,,Center,True
RASHKIS ELEMENTARY PRE-K/HEAD START,68000338,"601MEADOWMONT LN, CHAPEL HILL, NC 27517",CHAPEL HILL,NC,27517,35.9131542,-79.05578,(919) 918-2153,,,Center,True
RASHKIS SCHOOL AGE CARE PROGRAM,68000341,"601 MEADOWMONT LANE, CHAPEL HILL, NC 27517",CHAPEL HILL,NC,27517,35.9140577,-79.0084062,(919) 918-7165,,,Center,True
SEEDS OF WONDER,19000403,"10329 US HWY 15-501 N, CHAPEL HILL, NC 27517",CHAPEL HILL,NC,27517,35.9131542,-79.05578,(919) 631-9615,,,Center,True
THE LEARNING EXPERIENCE,32002063,"501 E BARBEE CHAPEL ROAD, CHAPEL HILL, NC 27517",CHAPEL HILL,NC,27517,35.902389,-79.0066709,(919) 442-0515,,,Center,True
THE UNIVERSITY CHILD CARE CENTER,68000580,"130 FRIDAY CENTER DRIVE, CHAPEL HILL, NC 27517",CHAPEL HILL,NC,27517,35.8990016,-79.0145247,(919) 445-9400,,,Center,True
